shape,rows,cols,kernel,bpw,ns_per_gemv,weight_MiB,GB_s
gate/up_proj,3072,1024,Q3_K-real-actf32,3.4375,513675,1.29,2.63
gate/up_proj,3072,1024,Q3_K-real-actint8,3.4375,462750,1.29,2.92
gate/up_proj,3072,1024,T3 fold9 K=2-vs-real,4.1250,59425,1.55,27.30
gate/up_proj,3072,1024,T1 2-bit-vs-real,2.1250,62025,0.80,13.47
gate/up_proj,3072,1024,threads1-Q3_K-real,3.4375,448175,0,3.02
gate/up_proj,3072,1024,threads1-fold9,4.1250,61075,0,26.56
gate/up_proj,3072,1024,threads2-Q3_K-real,3.4375,234600,0,5.76
gate/up_proj,3072,1024,threads2-fold9,4.1250,31100,0,52.15
gate/up_proj,3072,1024,threads4-Q3_K-real,3.4375,126100,0,10.72
gate/up_proj,3072,1024,threads4-fold9,4.1250,16900,0,95.98
down_proj,1024,3072,Q4_K-real-actf32,4.5000,338200,1.69,5.23
down_proj,1024,3072,Q4_K-real-actint8,4.5000,129325,1.69,13.68
down_proj,1024,3072,T3 fold9 K=2-vs-real,4.1250,58425,1.55,27.76
down_proj,1024,3072,T1 2-bit-vs-real,2.1250,57200,0.80,14.61
down_proj,1024,3072,threads1-Q4_K-real,4.5000,128375,0,13.78
down_proj,1024,3072,threads1-fold9,4.1250,57950,0,27.99
down_proj,1024,3072,threads2-Q4_K-real,4.5000,67650,0,26.16
down_proj,1024,3072,threads2-fold9,4.1250,30725,0,52.79
down_proj,1024,3072,threads4-Q4_K-real,4.5000,36325,0,48.71
down_proj,1024,3072,threads4-fold9,4.1250,21500,0,75.44
q_proj,2048,1024,Q3_K-real-actf32,3.4375,299275,0.86,3.01
q_proj,2048,1024,Q3_K-real-actint8,3.4375,294750,0.86,3.06
q_proj,2048,1024,T3 fold9 K=2-vs-real,4.1250,40400,1.03,26.77
q_proj,2048,1024,T1 2-bit-vs-real,2.1250,39875,0.53,13.97
q_proj,2048,1024,threads1-Q3_K-real,3.4375,295375,0,3.05
q_proj,2048,1024,threads1-fold9,4.1250,39800,0,27.17
q_proj,2048,1024,threads2-Q3_K-real,3.4375,153975,0,5.85
q_proj,2048,1024,threads2-fold9,4.1250,21225,0,50.95
q_proj,2048,1024,threads4-Q3_K-real,3.4375,80275,0,11.23
q_proj,2048,1024,threads4-fold9,4.1250,11675,0,92.62
o_proj,1024,2048,Q4_K-real-actf32,4.5000,226375,1.12,5.21
o_proj,1024,2048,Q4_K-real-actint8,4.5000,86475,1.12,13.64
o_proj,1024,2048,T3 fold9 K=2-vs-real,4.1250,39250,1.03,27.55
o_proj,1024,2048,T1 2-bit-vs-real,2.1250,40925,0.53,13.61
o_proj,1024,2048,threads1-Q4_K-real,4.5000,86325,0,13.67
o_proj,1024,2048,threads1-fold9,4.1250,40875,0,26.45
o_proj,1024,2048,threads2-Q4_K-real,4.5000,47475,0,24.85
o_proj,1024,2048,threads2-fold9,4.1250,21825,0,49.55
o_proj,1024,2048,threads4-Q4_K-real,4.5000,25075,0,47.04
o_proj,1024,2048,threads4-fold9,4.1250,17400,0,62.15
k_proj,1024,1024,Q3_K-real-actf32,3.4375,153925,0.43,2.93
k_proj,1024,1024,Q3_K-real-actint8,3.4375,147025,0.43,3.06
k_proj,1024,1024,T3 fold9 K=2-vs-real,4.1250,20250,0.52,26.70
k_proj,1024,1024,T1 2-bit-vs-real,2.1250,20050,0.27,13.89
k_proj,1024,1024,threads1-Q3_K-real,3.4375,152325,0,2.96
k_proj,1024,1024,threads1-fold9,4.1250,20400,0,26.50
k_proj,1024,1024,threads2-Q3_K-real,3.4375,78250,0,5.76
k_proj,1024,1024,threads2-fold9,4.1250,10950,0,49.38
k_proj,1024,1024,threads4-Q3_K-real,3.4375,43450,0,10.37
k_proj,1024,1024,threads4-fold9,4.1250,6700,0,80.70
v_proj,1024,1024,Q4_K-real-actf32,4.5000,114225,0.56,5.16
v_proj,1024,1024,Q4_K-real-actint8,4.5000,44650,0.56,13.21
v_proj,1024,1024,T3 fold9 K=2-vs-real,4.1250,20550,0.52,26.31
v_proj,1024,1024,T1 2-bit-vs-real,2.1250,20325,0.27,13.70
v_proj,1024,1024,threads1-Q4_K-real,4.5000,43700,0,13.50
v_proj,1024,1024,threads1-fold9,4.1250,20150,0,26.83
v_proj,1024,1024,threads2-Q4_K-real,4.5000,23150,0,25.48
v_proj,1024,1024,threads2-fold9,4.1250,10925,0,49.49
v_proj,1024,1024,threads4-Q4_K-real,4.5000,13575,0,43.45
v_proj,1024,1024,threads4-fold9,4.1250,7025,0,76.96
lm_head,151936,1024,Q6_K-real-actf32,6.5625,24302550,121.71,5.25
lm_head,151936,1024,Q6_K-real-actint8,6.5625,24214100,121.71,5.27
lm_head,151936,1024,T3 fold9 K=2-vs-real,4.1250,3237925,76.51,24.78
lm_head,151936,1024,T1 2-bit-vs-real,2.1250,3249175,39.41,12.72
lm_head,151936,1024,threads1-Q6_K-real,6.5625,24357325,0,5.24
lm_head,151936,1024,threads1-fold9,4.1250,3030325,0,26.47
lm_head,151936,1024,threads2-Q6_K-real,6.5625,12504825,0,10.21
lm_head,151936,1024,threads2-fold9,4.1250,1588375,0,50.51
lm_head,151936,1024,threads4-Q6_K-real,6.5625,6638075,0,19.23
lm_head,151936,1024,threads4-fold9,4.1250,1416000,0,56.65
gate/up_proj,3072,1024,Q4_K-real-actf32,4.5000,356400,1.69,4.96
gate/up_proj,3072,1024,Q4_K-real-actint8,4.5000,135375,1.69,13.07
gate/up_proj,3072,1024,T3 fold9 K=2-vs-real,4.1250,64375,1.55,25.20
gate/up_proj,3072,1024,T1 2-bit-vs-real,2.1250,62800,0.80,13.31
gate/up_proj,3072,1024,threads1-Q4_K-real,4.5000,138150,0,12.81
gate/up_proj,3072,1024,threads1-fold9,4.1250,62175,0,26.09
gate/up_proj,3072,1024,threads2-Q4_K-real,4.5000,70850,0,24.97
gate/up_proj,3072,1024,threads2-fold9,4.1250,31925,0,50.81
gate/up_proj,3072,1024,threads4-Q4_K-real,4.5000,60975,0,29.02
gate/up_proj,3072,1024,threads4-fold9,4.1250,28675,0,56.57
down_proj,1024,3072,Q6_K-real-actf32,6.5625,506000,2.46,5.10
down_proj,1024,3072,Q6_K-real-actint8,6.5625,516375,2.46,5.00
down_proj,1024,3072,T3 fold9 K=2-vs-real,4.1250,64800,1.55,25.03
down_proj,1024,3072,T1 2-bit-vs-real,2.1250,102375,0.80,8.16
down_proj,1024,3072,threads1-Q6_K-real,6.5625,550925,0,4.68
down_proj,1024,3072,threads1-fold9,4.1250,62725,0,25.86
down_proj,1024,3072,threads2-Q6_K-real,6.5625,265050,0,9.74
down_proj,1024,3072,threads2-fold9,4.1250,32800,0,49.45
down_proj,1024,3072,threads4-Q6_K-real,6.5625,182850,0,14.11
down_proj,1024,3072,threads4-fold9,4.1250,28450,0,57.01
q_proj,2048,1024,Q4_K-real-actf32,4.5000,227225,1.12,5.19
q_proj,2048,1024,Q4_K-real-actint8,4.5000,87975,1.12,13.41
q_proj,2048,1024,T3 fold9 K=2-vs-real,4.1250,39675,1.03,27.26
q_proj,2048,1024,T1 2-bit-vs-real,2.1250,39700,0.53,14.03
q_proj,2048,1024,threads1-Q4_K-real,4.5000,89275,0,13.21
q_proj,2048,1024,threads1-fold9,4.1250,42450,0,25.47
q_proj,2048,1024,threads2-Q4_K-real,4.5000,48975,0,24.09
q_proj,2048,1024,threads2-fold9,4.1250,22100,0,48.93
q_proj,2048,1024,threads4-Q4_K-real,4.5000,37050,0,31.84
q_proj,2048,1024,threads4-fold9,4.1250,12300,0,87.91
o_proj,1024,2048,Q4_K-real-actf32,4.5000,226550,1.12,5.21
o_proj,1024,2048,Q4_K-real-actint8,4.5000,86625,1.12,13.62
o_proj,1024,2048,T3 fold9 K=2-vs-real,4.1250,39200,1.03,27.59
o_proj,1024,2048,T1 2-bit-vs-real,2.1250,39400,0.53,14.14
o_proj,1024,2048,threads1-Q4_K-real,4.5000,86475,0,13.64
o_proj,1024,2048,threads1-fold9,4.1250,39325,0,27.50
o_proj,1024,2048,threads2-Q4_K-real,4.5000,46575,0,25.33
o_proj,1024,2048,threads2-fold9,4.1250,22325,0,48.44
o_proj,1024,2048,threads4-Q4_K-real,4.5000,40750,0,28.95
o_proj,1024,2048,threads4-fold9,4.1250,19000,0,56.91
k_proj,1024,1024,Q4_K-real-actf32,4.5000,113850,0.56,5.18
k_proj,1024,1024,Q4_K-real-actint8,4.5000,43900,0.56,13.44
k_proj,1024,1024,T3 fold9 K=2-vs-real,4.1250,20050,0.52,26.97
k_proj,1024,1024,T1 2-bit-vs-real,2.1250,20450,0.27,13.62
k_proj,1024,1024,threads1-Q4_K-real,4.5000,43700,0,13.50
k_proj,1024,1024,threads1-fold9,4.1250,20100,0,26.90
k_proj,1024,1024,threads2-Q4_K-real,4.5000,23325,0,25.29
k_proj,1024,1024,threads2-fold9,4.1250,11675,0,46.31
k_proj,1024,1024,threads4-Q4_K-real,4.5000,12475,0,47.28
k_proj,1024,1024,threads4-fold9,4.1250,6975,0,77.52
v_proj,1024,1024,Q6_K-real-actf32,6.5625,162125,0.82,5.31
v_proj,1024,1024,Q6_K-real-actint8,6.5625,161700,0.82,5.32
v_proj,1024,1024,T3 fold9 K=2-vs-real,4.1250,20525,0.52,26.34
v_proj,1024,1024,T1 2-bit-vs-real,2.1250,20250,0.27,13.75
v_proj,1024,1024,threads1-Q6_K-real,6.5625,165450,0,5.20
v_proj,1024,1024,threads1-fold9,4.1250,20125,0,26.87
v_proj,1024,1024,threads2-Q6_K-real,6.5625,84675,0,10.16
v_proj,1024,1024,threads2-fold9,4.1250,10900,0,49.60
v_proj,1024,1024,threads4-Q6_K-real,6.5625,53100,0,16.20
v_proj,1024,1024,threads4-fold9,4.1250,9925,0,54.48
lm_head,151936,1024,Q6_K-real-actf32,6.5625,24328250,121.71,5.25
lm_head,151936,1024,Q6_K-real-actint8,6.5625,24262700,121.71,5.26
lm_head,151936,1024,T3 fold9 K=2-vs-real,4.1250,3177925,76.51,25.24
lm_head,151936,1024,T1 2-bit-vs-real,2.1250,3087900,39.41,13.38
lm_head,151936,1024,threads1-Q6_K-real,6.5625,24438700,0,5.22
lm_head,151936,1024,threads1-fold9,4.1250,3115175,0,25.75
lm_head,151936,1024,threads2-Q6_K-real,6.5625,12574025,0,10.15
lm_head,151936,1024,threads2-fold9,4.1250,1596625,0,50.24
lm_head,151936,1024,threads4-Q6_K-real,6.5625,6724525,0,18.98
lm_head,151936,1024,threads4-fold9,4.1250,1506925,0,53.24
gate/up_proj,3072,1024,Q4_K-real-actf32,4.5000,404075,1.69,4.38
gate/up_proj,3072,1024,Q4_K-real-actint8,4.5000,131850,1.69,13.42
gate/up_proj,3072,1024,T3 fold9 K=2-vs-real,4.1250,60883,1.55,26.64
gate/up_proj,3072,1024,T1 2-bit-vs-real,2.1250,61358,0.80,13.62
gate/up_proj,3072,1024,threads1-Q4_K-real,4.5000,130733,0,13.53
gate/up_proj,3072,1024,threads1-fold9,4.1250,59108,0,27.44
gate/up_proj,3072,1024,threads2-Q4_K-real,4.5000,67708,0,26.13
gate/up_proj,3072,1024,threads2-fold9,4.1250,30808,0,52.65
gate/up_proj,3072,1024,threads4-Q4_K-real,4.5000,35342,0,50.07
gate/up_proj,3072,1024,threads4-fold9,4.1250,16267,0,99.71
down_proj,1024,3072,Q6_K-real-actf32,6.5625,489042,2.46,5.28
down_proj,1024,3072,Q6_K-real-actint8,6.5625,489708,2.46,5.27
down_proj,1024,3072,T3 fold9 K=2-vs-real,4.1250,57658,1.55,28.13
down_proj,1024,3072,T1 2-bit-vs-real,2.1250,56842,0.80,14.70
down_proj,1024,3072,threads1-Q6_K-real,6.5625,502867,0,5.13
down_proj,1024,3072,threads1-fold9,4.1250,58267,0,27.84
down_proj,1024,3072,threads2-Q6_K-real,6.5625,250975,0,10.28
down_proj,1024,3072,threads2-fold9,4.1250,29942,0,54.17
down_proj,1024,3072,threads4-Q6_K-real,6.5625,139675,0,18.47
down_proj,1024,3072,threads4-fold9,4.1250,15908,0,101.96
q_proj,2048,1024,Q4_K-real-actf32,4.5000,231692,1.12,5.09
q_proj,2048,1024,Q4_K-real-actint8,4.5000,86750,1.12,13.60
q_proj,2048,1024,T3 fold9 K=2-vs-real,4.1250,39583,1.03,27.32
q_proj,2048,1024,T1 2-bit-vs-real,2.1250,39517,0.53,14.10
q_proj,2048,1024,threads1-Q4_K-real,4.5000,87233,0,13.52
q_proj,2048,1024,threads1-fold9,4.1250,39400,0,27.45
q_proj,2048,1024,threads2-Q4_K-real,4.5000,45250,0,26.07
